messageID,sendMessage,replyMessage,sendMessageTime,replyMessageTime,durationResponseMinutes,keywordOverlap,semanticSimilarity,groundTruth
1,"Hi, how was our recent trip to Gilgit?", It was amazing! The scenery was breathtaking.,03/11/2023 10:00,03/11/2023 10:15,15,0.13942995985310797,0.314841,1
2,"I know, those mountains were incredible.", Especially the view from the top.,03/11/2023 10:20,03/11/2023 10:25,5,0,0.76777786,1
3,The weather was perfect too., Absolutely! Not too hot or cold.,03/11/2023 10:30,03/11/2023 10:35,5,0.10163066979112656,0.6645176,1
4,Did you enjoy the local cuisine?," Yes,  the food was delicious!",03/11/2023 10:40,03/11/2023 10:45,5,0.10163066979112656,0.7250579,1
5,I still can't get over the colors of the Hunza Valley., It was like a painting.,03/11/2023 10:50,03/11/2023 10:55,5,0,0.29632598,1
6,The Baltit Fort tour was informative., And the history behind it was fascinating.,03/11/2023 11:00,03/11/2023 11:05,5,0.18443191662261305,0.7421141,1
7,The people there were so welcoming., We made some new friends.,03/11/2023 11:10,03/11/2023 11:15,5,0,0.61058974,1
8,I miss those serene moments by the river., Listening to the sound of water.,03/11/2023 11:20,03/11/2023 11:25,5,0.084579861,0.56754357,1
9,We should plan another trip soon.," Absolutely,  maybe Skardu next time?",03/11/2023 11:30,03/11/2023 11:35,5,0,0.7841949,1
10,That sounds like a great idea., I'm up for it!,03/11/2023 11:40,03/11/2023 11:45,5,0,0.8143829,1
11,Let's start planning!, It'll be another unforgettable adventure.,03/11/2023 11:50,03/11/2023 11:55,5,0,0.6422588,1
12,I can't wait!, Me neither.,03/11/2023 12:00,03/11/2023 12:05,5,0,0.5158598,1
13,Remember that thrilling jeep ride?, It was like a roller coaster!,03/11/2023 12:10,03/11/2023 12:15,5,0,0.52694714,1
14,I thought we were going to lose our lunch.," Haha,  but it was so much fun!",03/11/2023 12:20,03/11/2023 12:25,5,0,0.12386937,1
15,The Gilgit River's beauty was enchanting., I could sit by it all day.,03/11/2023 12:30,03/11/2023 12:35,5,0,0.24696459,1
16,And those clear starry nights in Gilgit., We stargazed for hours.,03/11/2023 12:40,03/11/2023 12:45,5,0,0.4866903,1
17,The local markets were bustling., I bought some beautiful souvenirs.,03/11/2023 12:50,03/11/2023 12:55,5,0,0.4291183,1
18,I still have those apricots we bought., They were so sweet.,03/11/2023 13:00,03/11/2023 13:05,5,0,0.51346976,1
19,Let's cook some Gilgiti dishes at home., That's a great idea!,03/11/2023 13:10,03/11/2023 13:15,5,0,0.13928944,1
20,We'll relive the taste of Gilgit., Can't wait to try the recipes!,03/11/2023 13:20,03/11/2023 13:25,5,0.084579861,0.6077764,1
21,Did you notice the diverse culture?," Yes,  it was so interesting to learn.",03/11/2023 13:30,03/11/2023 13:35,5,0,0.6019574,1
22,I'm glad we got to experience it., It made the trip even more special.,03/11/2023 13:40,03/11/2023 13:45,5,0.084579861,0.7342553,1
23,We should write a travel blog about our trip., And share it with our friends.,03/11/2023 13:50,03/11/2023 13:55,5,0.078744603,0.47005042,1
24,It'll be a great way to preserve the memories., I'm excited to do that!,03/11/2023 14:00,03/11/2023 14:05,5,0.092697897,0.60653335,1
25,We should also plan a road trip soon.," Yes,  exploring more places would be awesome!",03/11/2023 14:10,03/11/2023 14:15,5,0,0.58266693,1
26,I heard Skardu is beautiful too., I've always wanted to go there.,03/11/2023 14:20,03/11/2023 14:25,5,0,0.51979345,1
27,We can add it to our travel bucket list.," Yes,   exploring more places would be awesome!",03/11/2023 14:30,03/11/2023 14:35,5,0,0.5679452,1
28,It's been a pleasure chatting with you., Likewise! Until our next adventure!,03/11/2023 21:00,03/11/2023 21:05,5,0,0.35211304,1
29,"See you soon, my friend!"," Take care,  and talk to you later!",03/11/2023 21:10,03/11/2023 21:15,5,0.093494775,0.7749076,1
30,Goodbye for now!, Goodbye!,03/11/2023 21:20,03/11/2023 21:25,5,0.4494364165239821,0.9106194,1
31,Hi! How was the cricket match at Karachi Stadium?, It was fantastic! The atmosphere was electric.,04/11/2023 10:00,04/11/2023 10:15,15,0.20994245534821712,0.1999534,1
32,I heard the crowd was going wild., Absolutely; the cheers were deafening.,04/11/2023 10:20,04/11/2023 10:25,5,0.10163066979112656,0.691283,1
33,Tell me about the highlights of the match., There were some incredible sixes and catches.,04/11/2023 10:30,04/11/2023 10:35,5,0,0.48490882,1
34,Who was the standout player?, The captain played a brilliant innings.,04/11/2023 10:40,04/11/2023 10:45,5,0.11234277891542777,0.5359223,1
35,I wish I could've been there., You missed out on a great game.,04/11/2023 10:50,04/11/2023 10:55,5,0,0.5661583,1
36,How was the weather at the stadium?, It was perfect; not too hot or too cold.,04/11/2023 11:00,04/11/2023 11:05,5,0.053550953,0.17652899,1
37,Did you get any souvenirs?, Yes; I bought a team jersey.,04/11/2023 11:10,04/11/2023 11:15,5,0,0.45917386,1
38,I heard there was a fireworks show after the match., Yes; it was a spectacular display.,04/11/2023 11:20,04/11/2023 11:25,5,0.087044468,0.32327098,1
39,Let's plan to watch a match together next time., That sounds like a great idea!,04/11/2023 11:30,04/11/2023 11:35,5,0,0.3263403,1
40,We'll have an amazing time at the stadium., I'm looking forward to it!,04/11/2023 11:40,04/11/2023 11:45,5,0,0.64755815,1
41,"Hi, are you still thinking about the cricket match?", Yes; I can't stop talking about it.,04/11/2023 11:50,04/11/2023 11:55,5,0.073971295,0.22152123,1
42,That six in the last over was incredible., It changed the course of the game.,04/11/2023 12:00,04/11/2023 12:05,5,0.13942995985310797,0.39175373,1
43,I was on the edge of my seat throughout., It was a nail-biting finish.,04/11/2023 12:10,04/11/2023 12:15,5,0.087044468,0.461609,1
44,Who do you think will win the next match?, I'm supporting our home team.,04/11/2023 12:20,04/11/2023 12:25,5,0,0.42108205,1
45,I hope we have more matches like this one., Me too; it was thrilling.,04/11/2023 12:30,04/11/2023 12:35,5,0,0.55240035,1
46,I couldn't believe that last catch!, It was a game-changer; for sure.,04/11/2023 12:40,04/11/2023 12:45,5,0,0.4035564,1
47,Do you play cricket in your free time?, I do; it's a fun sport.,04/11/2023 12:50,04/11/2023 12:55,5,0.098679618,0.2697164,1
48,We should organize a friendly match., That sounds like a great idea.,04/11/2023 13:00,04/11/2023 13:05,5,0,0.524384,1
49,It'll be a fun way to stay active., And relive some stadium moments.,04/11/2023 13:10,04/11/2023 13:15,5,0,0.42713228,1
50,Did you try the stadium's famous snacks?, I had a hot dog and some popcorn.,04/11/2023 13:20,04/11/2023 13:25,5,0,0.58974683,1
51,I should join you next time., We'll enjoy the snacks and the game.,04/11/2023 13:30,04/11/2023 13:35,5,0,0.51885915,1
52,I'm already excited for the next match., It can't come soon enough!,04/11/2023 13:40,04/11/2023 13:45,5,0,0.3306257,1
53,The players' dedication is inspiring., They give it their all.,04/11/2023 13:50,04/11/2023 13:55,5,0,0.47181,1
54,I hope they continue to make us proud., They're our heroes.,04/11/2023 14:00,04/11/2023 14:05,5,0.1059921313509325,0.8047819,1
55,Let's catch up soon., Yes; we have a lot to discuss.,04/11/2023 14:10,04/11/2023 14:15,5,0,0.57607675,1
56,I'm looking forward to it., Me too! Until then.,04/11/2023 14:20,04/11/2023 14:25,5,0,0.66818094,1
57,"Take care, my friend!", You too; talk to you later!,04/11/2023 14:30,04/11/2023 14:35,5,0,0.51320183,1
58,Goodbye for now!, Goodbye!,04/11/2023 14:40,04/11/2023 14:45,5,0.4494364165239821,0.9106194,1
59,Hi! Have you started preparing for the AI exam?, I've just started reviewing the materials.,06/11/2023 9:00,06/11/2023 9:15,15,0.1597642092414444,0.6178008,1
60,I'm a bit worried about the AI exam.," Don't stress, we've got this!",06/11/2023 9:20,06/11/2023 9:25,5,0,0.20631218,1
61,I'll be revising the neural networks section., That's a crucial part of the course.,06/11/2023 9:30,06/11/2023 9:35,5,0.084579861,0.49456966,1
62,I'm also going over machine learning algorithms., Solid choice; they often come up.,06/11/2023 9:40,06/11/2023 9:45,5,0,0.24238928,1
63,Do you have any practice exams?, I've found a few online; I can share them.,06/11/2023 9:50,06/11/2023 9:55,5,0,0.31287006,1
64,I'd appreciate that; practice is key.," Definitely,  it helps to gauge our progress.",06/11/2023 10:00,06/11/2023 10:05,5,0,0.8323906,1
65,I'm also working on a project for the course.," Oh,  the project has been challenging.",06/11/2023 10:10,06/11/2023 10:15,5,0.18443191662261305,0.43070963,1
66,I think it's a great way to apply what we've learned., You're right; it's a valuable experience.,06/11/2023 10:20,06/11/2023 10:25,5,0.069972543,0.8285437,1
67,We should set up a study session together., That's a great idea; it'll keep us motivated.,06/11/2023 10:30,06/11/2023 10:35,5,0,0.37483287,1
68,I'm available this weekend; does that work for you?," Perfect,  let's plan a productive session.",06/11/2023 10:40,06/11/2023 10:45,5,0,0.47174743,1
69,"Hi, how's your AI exam preparation going?", I've made progress but there's still a lot to cover.,06/11/2023 10:50,06/11/2023 10:55,5,0,0.32546613,1
70,The AI course is quite comprehensive., It sure is; it covers a lot of ground.,06/11/2023 11:00,06/11/2023 11:05,5,0.069972543,0.6662282,1
71,I've been working on my AI project too.," The project is challenging,  isn't it?",06/11/2023 11:10,06/11/2023 11:15,5,0.078744603,0.335278,1
72,I've had my share of late nights debugging.," Haha, debugging is an essential skill.",06/11/2023 11:20,06/11/2023 11:25,5,0.078744603,0.3701437,1
73,I hope we'll have enough time to revise everything., We'll make the most of the time we have.,06/11/2023 11:30,06/11/2023 11:35,5,0.29411066171012384,0.77465576,1
74,Do you have any AI-related resources to recommend?, I've found some great online courses.,06/11/2023 11:40,06/11/2023 11:45,5,0,0.4642181,1
75,Please share them with me; they'll be helpful., I'll send you the links after our chat.,06/11/2023 11:50,06/11/2023 11:55,5,0.063354812,0.6094308,1
76,Let's make a study plan for the week., A structured plan is the key to success.,06/11/2023 12:00,06/11/2023 12:05,5,0.16839750037215276,0.32916623,1
77,I'll focus on the theory and algorithms this week., And I'll work on practical coding exercises.,06/11/2023 12:10,06/11/2023 12:15,5,0.23577033983032974,0.59330183,1
78,We should also take breaks and stay refreshed., Agreed; breaks boost productivity.,06/11/2023 12:20,06/11/2023 12:25,5,0.098679618,0.53620917,1
