messageID,sendMessage,replyMessage,sendMessageTime,replyTimeMessage
1,"Hi, how was our recent trip to Gilgit?"," ""It was amazing! The scenery was breathtaking."""," ""2023-11-03 10:00:00"""," ""2023-11-03 10:15:00"""
2,"I know, those mountains were incredible."," ""Especially the view from the top."""," ""2023-11-03 10:20:00"""," ""2023-11-03 10:25:00"""
3,The weather was perfect too.," ""Absolutely! Not too hot or cold."""," ""2023-11-03 10:30:00"""," ""2023-11-03 10:35:00"""
4,Did you enjoy the local cuisine?," ""Yes,  the food was delicious!"""," ""2023-11-03 10:40:00"""," ""2023-11-03 10:45:00"""
5,I still can't get over the colors of the Hunza Valley.," ""It was like a painting."""," ""2023-11-03 10:50:00"""," ""2023-11-03 10:55:00"""
6,The Baltit Fort tour was informative.," ""And the history behind it was fascinating."""," ""2023-11-03 11:00:00"""," ""2023-11-03 11:05:00"""
7,The people there were so welcoming.," ""We made some new friends."""," ""2023-11-03 11:10:00"""," ""2023-11-03 11:15:00"""
8,I miss those serene moments by the river.," ""Listening to the sound of water."""," ""2023-11-03 11:20:00"""," ""2023-11-03 11:25:00"""
9,We should plan another trip soon.," ""Absolutely,  maybe Skardu next time?"""," ""2023-11-03 11:30:00"""," ""2023-11-03 11:35:00"""
10,That sounds like a great idea.," ""I'm up for it!"""," ""2023-11-03 11:40:00"""," ""2023-11-03 11:45:00"""
11,Let's start planning!," ""It'll be another unforgettable adventure."""," ""2023-11-03 11:50:00"""," ""2023-11-03 11:55:00"""
12,I can't wait!," ""Me neither."""," ""2023-11-03 12:00:00"""," ""2023-11-03 12:05:00"""
13,Remember that thrilling jeep ride?," ""It was like a roller coaster!"""," ""2023-11-03 12:10:00"""," ""2023-11-03 12:15:00"""
14,I thought we were going to lose our lunch.," ""Haha,  but it was so much fun!"""," ""2023-11-03 12:20:00"""," ""2023-11-03 12:25:00"""
15,The Gilgit River's beauty was enchanting.," ""I could sit by it all day."""," ""2023-11-03 12:30:00"""," ""2023-11-03 12:35:00"""
16,And those clear starry nights in Gilgit.," ""We stargazed for hours."""," ""2023-11-03 12:40:00"""," ""2023-11-03 12:45:00"""
17,The local markets were bustling.," ""I bought some beautiful souvenirs."""," ""2023-11-03 12:50:00"""," ""2023-11-03 12:55:00"""
18,I still have those apricots we bought.," ""They were so sweet."""," ""2023-11-03 13:00:00"""," ""2023-11-03 13:05:00"""
19,Let's cook some Gilgiti dishes at home.," ""That's a great idea!"""," ""2023-11-03 13:10:00"""," ""2023-11-03 13:15:00"""
20,We'll relive the taste of Gilgit.," ""Can't wait to try the recipes!"""," ""2023-11-03 13:20:00"""," ""2023-11-03 13:25:00"""
21,Did you notice the diverse culture?," ""Yes,  it was so interesting to learn."""," ""2023-11-03 13:30:00"""," ""2023-11-03 13:35:00"""
22,I'm glad we got to experience it.," ""It made the trip even more special."""," ""2023-11-03 13:40:00"""," ""2023-11-03 13:45:00"""
23,We should write a travel blog about our trip.," ""And share it with our friends."""," ""2023-11-03 13:50:00"""," ""2023-11-03 13:55:00"""
24,It'll be a great way to preserve the memories.," ""I'm excited to do that!"""," ""2023-11-03 14:00:00"""," ""2023-11-03 14:05:00"""
25,We should also plan a road trip soon.," ""Yes,  exploring more places would be awesome!"""," ""2023-11-03 14:10:00"""," ""2023-11-03 14:15:00"""
26,I heard Skardu is beautiful too.," ""I've always wanted to go there."""," ""2023-11-03 14:20:00"""," ""2023-11-03 14:25:00"""
27,We can add it to our travel bucket list.," ""Yes,   exploring more places would be awesome!"""""," ""2023-11-03 14:30:00"""," ""2023-11-03 14:35:00"""
28,It's been a pleasure chatting with you.," ""Likewise! Until our next adventure!"""," ""2023-11-03 21:00:00"""," ""2023-11-03 21:05:00"""
29,"See you soon, my friend!"," ""Take care,  and talk to you later!"""," ""2023-11-03 21:10:00"""," ""2023-11-03 21:15:00"""
30,Goodbye for now!," ""Goodbye!"""," ""2023-11-03 21:20:00"""," ""2023-11-03 21:25:00"""
31,Hi! How was the cricket match at Karachi Stadium?," ""It was fantastic! The atmosphere was electric."""," ""2023-11-04 10:00:00"""," ""2023-11-04 10:15:00"""
32,I heard the crowd was going wild.," ""Absolutely; the cheers were deafening."""," ""2023-11-04 10:20:00"""," ""2023-11-04 10:25:00"""
33,Tell me about the highlights of the match.," ""There were some incredible sixes and catches."""," ""2023-11-04 10:30:00"""," ""2023-11-04 10:35:00"""
34,Who was the standout player?," ""The captain played a brilliant innings."""," ""2023-11-04 10:40:00"""," ""2023-11-04 10:45:00"""
35,I wish I could've been there.," ""You missed out on a great game."""," ""2023-11-04 10:50:00"""," ""2023-11-04 10:55:00"""
36,How was the weather at the stadium?," ""It was perfect; not too hot or too cold."""," ""2023-11-04 11:00:00"""," ""2023-11-04 11:05:00"""
37,Did you get any souvenirs?," ""Yes; I bought a team jersey."""," ""2023-11-04 11:10:00"""," ""2023-11-04 11:15:00"""
38,I heard there was a fireworks show after the match.," ""Yes; it was a spectacular display."""," ""2023-11-04 11:20:00"""," ""2023-11-04 11:25:00"""
39,Let's plan to watch a match together next time.," ""That sounds like a great idea!"""," ""2023-11-04 11:30:00"""," ""2023-11-04 11:35:00"""
40,We'll have an amazing time at the stadium.," ""I'm looking forward to it!"""," ""2023-11-04 11:40:00"""," ""2023-11-04 11:45:00"""
41,"Hi, are you still thinking about the cricket match?"," ""Yes; I can't stop talking about it."""," ""2023-11-04 11:50:00"""," ""2023-11-04 11:55:00"""
42,That six in the last over was incredible.," ""It changed the course of the game."""," ""2023-11-04 12:00:00"""," ""2023-11-04 12:05:00"""
43,I was on the edge of my seat throughout.," ""It was a nail-biting finish."""," ""2023-11-04 12:10:00"""," ""2023-11-04 12:15:00"""
44,Who do you think will win the next match?," ""I'm supporting our home team."""," ""2023-11-04 12:20:00"""," ""2023-11-04 12:25:00"""
45,I hope we have more matches like this one.," ""Me too; it was thrilling."""," ""2023-11-04 12:30:00"""," ""2023-11-04 12:35:00"""
